,Star Name,Distance (pc),Spectral Class,Index,Luminosity Class
382,Tarazed,121.06537530266344,K3II,382,II
383,Tarf,98.98441985231524,K4IIIBa0.5:,383,III
384,Taygeta,125.47051442910916,B6IV,384,IV
385,Tegmine,25.08151492350138,F8V+G0V,385,V
386,Tejat,71.02272727272727,M3IIIab,386,III
387,Terebellum,23.410486493319816,G5IV,387,IV
388,Tevel,462.40636271155097,F,388,
389,Theemin,64.72450016504747,G8+III,389,III
390,Thuban,79.90028444501263,A0III,390,III
391,Tiaki,54.25935973955508,M4.5III,391,III
392,Tianguan,136.4256480218281,B1IVe_shell,392,IV
393,Tianyi,236.72561134389127,K5III,393,III
394,Timir,70.39328729612343,K0III/IV,394,III
395,Tislit,356.15072298596766,F6,395,
396,Titawin,13.478178828476697,F9V,396,V
397,Tojil,317.1381453761258,G,397,
398,Toliman,1.3458950201884252,K1V,398,V
399,Tonatiuh,100.7252215954875,G8.5IIIb,399,III
400,Torcular,79.81100753415912,G8III,400,III
401,Tupa,38.82183495285088,F8/G0V,401,V
402,Tupi,33.48591749739647,F9.5V,402,V
403,Tureis,19.48178453146308,F5IIkF2IImF5II,403,II
404,Ukdah,80.71025020177562,K2.5III,404,III
405,Uklun,39.442908362291,G6V,405,V
406,Unukalhai,22.675736961451246,K2IIIbCN1,406,III
407,Unurgunite,343.6426116838488,K5Ib,407,I
408,Uruk,108.4728112898502,F8V,408,V
409,Vega,7.678722260615834,A0Va,409,V
410,Veritate,75.9411000827758,G8III,410,III
411,Vindemiatrix,33.100526298368145,G8III-IIIb,411,III
412,Wasat,18.59800778140646,F2VkF0mF0,412,V
413,Wazn,26.73082063619353,K1III_CN+1,413,III
414,Wezen,492.6108374384237,F8Ia,414,I
415,Wurren,89.22198429693076,B6V+B9V,415,V
416,Xamidimura,533.8458253256459,B1V+B,416,V
417,Xihe,132.6911083688282,G8,417,
418,Xuange,30.685671325774425,A0Va_lB,418,V
419,Yed Posterior,32.77227203607571,G9.5IIIbFe-0.5,419,III
420,Yed Prior,52.465897166841565,M0.5III,420,III
421,Yildun,55.92778604266172,A1Van,421,V
422,Zaniah,75.93475685690854,A2IV,422,IV
423,Zaurak,58.8179936006023,M0III-IIIb,423,III
424,Zavijava,11.00176578340824,F9V,424,V
425,Zhang,76.18293045260279,G7III,425,III
426,Zibal,36.50301149844862,kA4hA9mA9V,426,V
427,Zosma,17.914725904693658,A5IV(n),427,IV
428,Zubenelgenubi,23.239600278875205,kA2hA5mA4IV-V,428,IV
429,Zubenelhakrabi,50.025012506253134,G8.5III,429,III
430,Zubeneschamali,56.75368898978434,B8Vn,430,V
